target distance,reaction time,accuracy,position
5,1.111107,0.724552,ceinture
10,1.98584,0.3290045,ceinture
5,1.430603,0.5371388,ceinture
5,1.37529,0.06337029,ceinture
5,1.180389,0.388468,ceinture
5,1.458511,0.6842587,ceinture
5,1.555557,0.2446141,ceinture
15,1.582855,0.2371438,ceinture
15,-1,0.4996207,ceinture
15,-1,0.4044877,ceinture
15,-1,0.8663837,ceinture
15,2.860962,0.1328444,ceinture
15,-1,0.6967746,ceinture
15,1.916397,0.1469917,ceinture
15,-1,0.380511,ceinture
15,2.277771,0.3113638,ceinture
15,1.999695,0.8885632,ceinture
15,2.166901,0.04093838,ceinture
15,2.277618,0.2177715,ceinture
15,1.777618,0.3603567,ceinture
5,5.291565,0.1018643,poche
5,1.375031,0.01327252,poche
5,1.416382,0.1708761,poche
5,1.541656,0.4343838,poche
5,3.555481,0.492317,poche
5,1.513855,0.7786197,poche
5,1.138641,0.08893675,poche
25,3.805359,0.4671876,poche
25,2.874664,0.6912324,poche
15,2.430573,0.4243283,poche
15,1.97229,0.01321572,poche
15,2.542023,0.4235618,poche
15,2.486176,0.8278389,poche
15,2.152588,0.2581666,poche
